"id","type","name","name_en","operator","status","hours","phone","lat","lng","address","area","sub_area","official_url","last_verified","note"
"sogo-park","park","総合公園","Urayasu Sogo Park","浦安市","open","","","35.635902","139.928879","千葉県浦安市明海七丁目2番","ベイサイド","新町","https://www.city.urayasu.lg.jp/shisetsu/kouen/1005625.html","2026-08-01","海が見える市内唯一の総合公園・駐251台・デイキャンプ場/問い合わせはみどり公園課047-712-6513（旧掲載の047-712-6437は誤り）"
"takasu-kaihin-park","park","高洲海浜公園","Takasu Seaside Park","浦安市","open","","","35.631897","139.920792","千葉県浦安市高洲九丁目2番","ベイサイド","新町","https://www.city.urayasu.lg.jp/shisetsu/kouen/1005634.html","2026-08-01","幼児・児童遊具広場/展望の丘/駐152台"
"undo-park","park","浦安市運動公園","Urayasu Athletic Park","浦安市","open","","","35.640255","139.885254","千葉県浦安市舞浜2番地27","リゾート","舞浜","https://www.city.urayasu.lg.jp/shisetsu/kouen/1005631.html","2026-08-01","大型遊具・体育館・プール・競技場/駐636台。総合体育館/陸上競技場/キッズスポーツルームを内包"
"kairaku-park","park","海楽公園","Kairaku Park","浦安市","open","","","35.654221","139.904694","千葉県浦安市海楽","リバーサイド","元町","https://www.city.urayasu.lg.jp/shisetsu/kouen/1005632.html","2026-08-01","遊具充実の身近な公園・精度:町丁目"
"kotsu-park","park","交通公園・若潮公園","Traffic Park / Wakashio Park","浦安市","open","9:00-16:30(月曜休園)","","35.647842","139.908997","千葉県浦安市美浜二丁目15番1号","ベイサイド","新浦安","https://www.city.urayasu.lg.jp/shisetsu/kouen/1005633.html","2026-08-01","乗り物・動物・屋内体験/入園無料/駐63台/小学生以下対象"
"kodomo-hiroba","park","こどもの広場（うらっこ広場）","Urakko Hiroba","浦安市","open","水〜金10:00-17:00/土日祝9:00-17:00(月火休)","","35.637566","139.910934","千葉県浦安市高洲二丁目4番10","ベイサイド","新町","https://www.city.urayasu.lg.jp/shisetsu/kosodate/kosodate/1011997.html","2026-06-30","水・土・火・木の冒険遊び/0〜18歳無料/プレイワーカー常駐/駐61台"
"urayasu-park","park","浦安公園","Urayasu Park","浦安市","open","","","35.654682","139.901321","千葉県浦安市猫実一丁目2","リバーサイド","浦安駅","https://www.city.urayasu.lg.jp/shisetsu/kouen/1032722.html","2026-08-01","芝生・遊具・水施設のある防災公園/駐2台"
"shiokaze-ryokudo","park","しおかぜ緑道","Shiokaze Greenway","浦安市","open","","","35.650665","139.892548","千葉県浦安市富士見〜堀江","リバーサイド","元町","https://www.city.urayasu.lg.jp/shisetsu/kouen/1005627.html","2026-08-01","旧江戸川べり〜境川 約1.8kmの散策緑道/流れ・噴水/精度:町丁目"
"chuo-park","park","中央公園","Chuo Park","浦安市","open","","","35.645252","139.897842","千葉県浦安市富岡四丁目25番","ベイサイド","新浦安","https://www.city.urayasu.lg.jp/shisetsu/kouen/1005638.html","2026-08-01","半分が森林の桜の名所/野球場・テニス/駐18台"
"akemi-no-oka-park","park","明海の丘公園","Akemi-no-oka Park","浦安市","open","","","35.644936","139.918976","千葉県浦安市明海","ベイサイド","新町","https://www.city.urayasu.lg.jp/shisetsu/kouen/1005644.html","2026-08-01","バラ園・芝生・ビオトープ/精度:町丁目"
"benten-fureai-park","park","弁天ふれあいの森公園","Benten Fureai-no-mori Park","浦安市","open","","","35.642437","139.895844","千葉県浦安市弁天","ベイサイド","新浦安","https://www.city.urayasu.lg.jp/shisetsu/kouen/1005643.html","2026-08-01","芝生・小川・ビオトープ・ウオーキング/精度:町丁目"
"takasu-chuo-park","park","高洲中央公園","Takasu Chuo Park","浦安市","open","","","35.640316","139.913483","千葉県浦安市高洲","ベイサイド","新町","https://www.city.urayasu.lg.jp/shisetsu/kouen/1005636.html","2026-08-01","野球場・テニスコート・桜/精度:町丁目"
"mihama-undo-park","park","美浜運動公園","Mihama Sports Park","浦安市","open","","","35.651039","139.911285","千葉県浦安市美浜","ベイサイド","新浦安","https://www.city.urayasu.lg.jp/shisetsu/kouen/1005641.html","2026-08-01","運動施設のある公園/精度:町丁目"
"maihama-park","park","舞浜公園","Maihama Park","浦安市","open","","","35.632145","139.881638","千葉県浦安市舞浜","リゾート","舞浜","https://www.city.urayasu.lg.jp/shisetsu/kouen/1037299.html","2026-08-01","舞浜エリアの街区公園/精度:町丁目/公式公園一覧に掲載を再確認(2026-08-01)"
"funawaku-ryokudo","park","船圦緑道","Funawaku Greenway","浦安市","open","","","35.666649","139.890213","千葉県浦安市当代島","リバーサイド","浦安駅","https://www.city.urayasu.lg.jp/shisetsu/kouen/1005629.html","2026-08-01","当代島の緑道/精度:町丁目/記事未掲載(公式公園一覧より収録・2026-08-01)"
"takasu-taiyo-no-oka-park","park","高洲太陽の丘公園","Takasu Taiyo-no-oka Park","浦安市","open","","","35.637615","139.908051","千葉県浦安市高洲二丁目7番","ベイサイド","新町","https://www.city.urayasu.lg.jp/shisetsu/kouen/1005635.html","2026-08-01","半分が森林形態/テニスコート・遊具/駐20台(9:00-21:20)・車いす用トイレ/記事未掲載(公式公園一覧より収録・2026-08-01)"
"hinode-ohisama-park","park","日の出おひさま公園","Hinode Ohisama Park","浦安市","open","","","35.643387","139.926117","千葉県浦安市日の出五丁目2番","ベイサイド","新町","https://www.city.urayasu.lg.jp/shisetsu/kouen/1005639.html","2026-08-01","約5000平方mの芝生広場/修景池・噴水広場・スポーツ広場/複合遊具・健康遊具/身障者用駐車2台・車いす用トイレ/記事未掲載(公式公園一覧より収録・2026-08-01)"
"hinode-kita-park","park","日の出北公園","Hinode Kita Park","浦安市","open","","","35.647884","139.926865","千葉県浦安市日の出三丁目2番","ベイサイド","新町","https://www.city.urayasu.lg.jp/shisetsu/kouen/1005640.html","2026-08-01","海に面した公園/球技広場・芝生広場・遊具/駐9台(身障者用2台)・身障者用トイレ/記事未掲載(公式公園一覧より収録・2026-08-01)"
"mihama-park","park","美浜公園","Mihama Park","浦安市","open","","","35.654522","139.914062","千葉県浦安市美浜五丁目14番","ベイサイド","新浦安","https://www.city.urayasu.lg.jp/shisetsu/kouen/1005642.html","2026-08-01","健康遊具・軽スポーツが楽しめる広場/新浦安駅から徒歩8分・車いす用トイレ/記事未掲載(公式公園一覧より収録・2026-08-01)"
